display_name,slug,bio,short_bio,creator_type,specialty,skills,years_experience,hourly_rate,half_day_rate,full_day_rate,city,postcode,avatar_url,cover_image,portfolio_images,badges,rating,review_count,completed_bookings,returning_clients,is_featured,is_active,is_verified,status,instagram_url,website_url
Marcus Cole,marcus-cole,"Award-winning fashion and editorial photographer based in East London. Regular contributor to Vogue, GQ, and Dazed. My work blends high fashion with street culture, creating images that feel both aspirational and authentic.",Fashion and editorial photographer,photographer,Fashion &amp; Editorial,"{Fashion,Editorial,Portrait,Studio Lighting,Location Shoots}",12,95.00,280.00,500.00,London,E2 8DP,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1558618666-fcd25c85f82e?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1509631179647-0177331693ae?w=800&h=600&fit=crop}","{top_rated,verified,award}",4.9,156,234,89,true,true,true,approved,https://instagram.com/marcuscole,https://marcuscole.co.uk
Priya Sharma,priya-sharma,"Music video and short film director/cinematographer. I have worked with artists signed to Universal, Sony, and independent labels across grime, drill, and R&B.",Music video cinematographer,videographer,Music Videos,"{Music Videos,Short Films,Colour Grading,Drone,Narrative}",8,110.00,320.00,580.00,London,N1 6NU,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1485846234645-a62644f84728?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1492691527719-9d1e07e534b4?w=800&h=600&fit=crop}","{verified,top_rated}",4.8,102,187,56,true,true,true,approved,https://instagram.com/priyasharma,
Kwame Asante,kwame-asante,"Grammy-nominated mix engineer and producer. I have mixed tracks for Stormzy, Dave, and Little Simz. Hybrid analogue/digital workflow.",Grammy-nominated mix engineer,audio_engineer,Music Production,"{Mixing,Mastering,Recording,Music Production,Vocal Production}",10,85.00,250.00,450.00,London,SE15 4QN,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1598488035139-bdbb2231ce04?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1598488035139-bdbb2231ce04?w=800&h=600&fit=crop}","{verified,award}",4.9,89,156,45,true,true,true,approved,,https://kwameasante.com
Elena Novak,elena-novak,"Commercial video editor specialising in brand content, product launches, and social campaigns. Clients include Nike, Gymshark, and Charlotte Tilbury.",Commercial video editor,editor,Commercial Editing,"{Video Editing,Colour Correction,Motion Graphics,After Effects,DaVinci Resolve}",6,75.00,220.00,400.00,Manchester,M1 2JQ,https://images.unsplash.com/photo-1580489944761-15a19d654956?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1574717024653-61fd2cf4d44d?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1574717024653-61fd2cf4d44d?w=800&h=600&fit=crop}","{verified}",4.7,67,123,34,false,true,true,approved,https://instagram.com/elenanovak,
David Okonkwo,david-okonkwo,"Portrait and lifestyle photographer capturing authentic moments. Specialising in personal branding, headshots, and editorial portraiture.",Portrait and branding photographer,photographer,Portrait &amp; Branding,"{Portrait,Lifestyle,Personal Branding,Headshots,Natural Light}",9,80.00,230.00,420.00,London,SE1 9SG,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1531746020798-e6953c6e8e04?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1531746020798-e6953c6e8e04?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1544005313-94ddf0286df2?w=800&h=600&fit=crop}","{verified,top_rated}",4.8,134,198,72,true,true,true,approved,https://instagram.com/davidokonkwo,https://davidokonkwo.com
Sophie Chen,sophie-chen,"Corporate and event videographer with a cinematic approach. From conferences to product launches, I create polished content that elevates your brand.",Corporate videographer,videographer,Corporate Video,"{Corporate Video,Events,Interviews,Live Streaming,Post-Production}",7,90.00,260.00,480.00,Manchester,M2 4WU,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=800&h=600&fit=crop}","{verified}",4.7,78,145,41,false,true,true,approved,,https://sophiechen.co.uk
Liam O'Brien,liam-obrien,"Podcast producer and audio engineer. From concept to distribution, I help brands and individuals launch professional podcasts.",Podcast producer,audio_engineer,Podcast Production,"{Podcast Editing,Voiceover Recording,Audio Restoration,Mixing,Distribution}",5,65.00,190.00,340.00,Birmingham,B1 1RD,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1478737270239-2f02b77fc618?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1478737270239-2f02b77fc618?w=800&h=600&fit=crop}","{verified}",4.6,56,98,28,false,true,true,approved,https://instagram.com/liamobrien,
Amara Williams,amara-williams,"Social media content creator and editor. I specialise in short-form vertical video for TikTok, Instagram Reels, and YouTube Shorts.",Short-form content editor,editor,Social Media Content,"{Short Form,Reels,TikTok,Captions,Trending Audio}",4,60.00,175.00,310.00,Leeds,LS1 4AP,https://images.unsplash.com/photo-1531123897727-8f129e1688ce?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1611162617474-5b21e879e113?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1611162617474-5b21e879e113?w=800&h=600&fit=crop}","{verified}",4.6,91,167,52,false,true,true,approved,https://instagram.com/amarawilliams,
Oliver Hart,oliver-hart,"Food and product photographer with over a decade of experience. Clients include Dishoom, Ottolenghi, and Waitrose.",Food and product photographer,photographer,Food &amp; Product,"{Food Photography,Product,Commercial,Styling,Flat Lay}",11,90.00,260.00,480.00,London,WC2H 9JQ,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1476224203421-9ac39bcb3327?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1476224203421-9ac39bcb3327?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800&h=600&fit=crop}","{verified,award}",4.9,143,212,78,true,true,true,approved,https://instagram.com/oliverhart,https://oliverhart.co.uk
Zara Hussain,zara-hussain,"Wedding and event videographer creating cinematic memories. South Asian wedding specialist with experience across Hindu, Muslim, and Sikh ceremonies.",Wedding videographer,videographer,Weddings &amp; Events,"{Weddings,Events,Drone,Multi-Camera,Same Day Edits}",6,100.00,300.00,550.00,Birmingham,B3 1SJ,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=400&h=400&fit=crop,https://images.unsplash.com/photo-1519741497674-611481863552?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1519741497674-611481863552?w=800&h=600&fit=crop}","{verified,top_rated}",4.8,112,189,67,true,true,true,approved,https://instagram.com/zarahussain,
