name,slug,description,short_bio,studio_type,address,city,postcode,size,amenities,equipment,hourly_rate,half_day_rate,full_day_rate,cover_image,gallery_images,rating,review_count,is_featured,is_active,is_verified,status
Shoreditch Daylight Studio,shoreditch-daylight-studio,"Stunning 2,500 sq ft daylight studio in the heart of Shoreditch. Floor-to-ceiling windows facing north provide beautiful, consistent natural light throughout the day.",Natural light studio in Shoreditch,photography,47 Rivington Street,London,EC2A 3QP,large,"{Natural Daylight,Kitchen,WiFi,Changing Room,Air Con,Loading Bay,Steamer}","{Profoto D2 Kit,6 Paper Backdrops,V-Flats,Reflectors,C-Stands}",65.00,180.00,340.00,https://images.unsplash.com/photo-1497366216548-37526070297c?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1497366216548-37526070297c?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1497366754035-f200968a6e72?w=800&h=600&fit=crop}",4.9,187,true,true,true,approved
Brixton Sound House,brixton-sound-house,"Professional recording studio with a vintage SSL 4000G console and world-class outboard gear. Two live rooms, isolation booth, and spacious control room.",SSL-equipped recording studio,audio,12 Coldharbour Lane,London,SW9 8LH,medium,"{Control Room,Live Room A,Live Room B,Iso Booth,Kitchen,Lounge,Parking}","{SSL 4000G Console,Pro Tools HDX,Neumann U87,Vintage Compressors,Grand Piano}",80.00,220.00,400.00,https://images.unsplash.com/photo-1598488035139-bdbb2231ce04?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1598488035139-bdbb2231ce04?w=800&h=600&fit=crop}",4.8,142,true,true,true,approved
Camden Film Works,camden-film-works,"Full-service video production facility with 3,000 sq ft shooting space. Permanent green screen wall, lighting grid, and on-site editing suite.",Video production facility,videography,78 Camden High Street,London,NW1 0LT,large,"{Green Screen,Lighting Grid,WiFi,Kitchen,Editing Suite,Parking,Makeup Station}","{ARRI Lighting Kit,Blackmagic Cameras,DaVinci Resolve Suite,Grip Equipment,Monitors}",75.00,200.00,380.00,https://images.unsplash.com/photo-1574717024653-61fd2cf4d44d?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1574717024653-61fd2cf4d44d?w=800&h=600&fit=crop}",4.7,156,true,true,true,approved
Northern Quarter Loft,northern-quarter-loft,"Industrial-chic creative loft in Manchester NQ. Exposed brick, 5m ceilings, and huge Crittall windows. A favourite with fashion and lifestyle brands.",Industrial creative loft,photography,34 Tib Street,Manchester,M4 1LA,large,"{Natural Light,High Ceilings,WiFi,Kitchen,Changing Room,Freight Lift}","{Backdrops,Elinchrom Lighting,Props Collection,Stands,Apple Boxes}",55.00,150.00,280.00,https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=800&h=600&fit=crop}",4.8,129,false,true,true,approved
Digbeth Audio Suite,digbeth-audio-suite,"Boutique recording studio in Birmingham creative quarter. Analog warmth meets digital precision. Neve preamps, vintage synths, and a beautifully treated live room.",Boutique recording studio,audio,67 Gibb Street,Birmingham,B9 4AA,small,"{Control Room,Live Room,Vocal Booth,WiFi,Kitchen,Artist Lounge}","{Neve 1073 Preamps,Pro Tools,Vintage Synths,Neumann TLM103,Yamaha NS10s}",60.00,170.00,310.00,https://images.unsplash.com/photo-1598653222000-6b7b7a552625?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1598653222000-6b7b7a552625?w=800&h=600&fit=crop}",4.6,98,false,true,true,approved
Calls Landing Studio,calls-landing-studio,"Modern content creation studio on Leeds waterfront. Purpose-built for influencers, podcasters, and social brands.",Content creation studio,videography,36 The Calls,Leeds,LS2 7EW,medium,"{Ring Lights,Multiple Backdrops,WiFi,Teleprompter,Props Wall,Changing Room}","{Sony FX3,LED Panels,Rode Mics,Gimbal,Editing iMac}",50.00,140.00,260.00,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=800&h=600&fit=crop}",4.7,114,false,true,true,approved
Hackney Whites,hackney-whites,"Intimate 800 sq ft white-box studio with beautiful north-facing daylight. Clean, minimal aesthetic perfect for beauty, product, and portrait photography.",White box daylight studio,photography,89 Mare Street,London,E8 4RG,small,"{Natural Light,Changing Room,WiFi,Kitchen,Blackout Blinds}","{Godox AD600,Paper Backdrops,Beauty Dish,V-Flats,Reflectors}",55.00,150.00,280.00,https://images.unsplash.com/photo-1600607687644-c7171b42498f?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1600607687644-c7171b42498f?w=800&h=600&fit=crop}",4.8,167,false,true,true,approved
Salford Sessions,salford-sessions,"Music recording and rehearsal space near MediaCityUK. Three rooms: main recording studio, rehearsal room, and podcast booth.",Recording and rehearsal space,audio,23 Chapel Street,Manchester,M3 5LE,medium,"{Recording Studio,Rehearsal Room,Podcast Booth,WiFi,Kitchen,Parking}","{Backline (Drums Amps),Mics,Focusrite Console,PA System,In-Ear Monitors}",60.00,170.00,320.00,https://images.unsplash.com/photo-1598488035139-bdbb2231ce04?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1598488035139-bdbb2231ce04?w=800&h=600&fit=crop}",4.7,134,false,true,true,approved
Custard Factory Studios,custard-factory-studios,"Large-scale film and video production facility in Birmingham Custard Factory. 4,000 sq ft with infinity cove, pre-lit grid, and on-site post-production.",Large-scale production studio,videography,99 Gibb Street,Birmingham,B9 4AA,large,"{Infinity Cove,Lighting Grid,WiFi,Kitchen,Parking,Loading Bay,Green Room}","{ARRI Skypanels,RED Camera Package,Full Grip Kit,DIT Station,Colour Suite}",85.00,240.00,450.00,https://images.unsplash.com/photo-1478737270239-2f02b77fc618?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1478737270239-2f02b77fc618?w=800&h=600&fit=crop}",4.9,178,true,true,true,approved
Old Street Multi-Space,old-street-multi-space,"Versatile 2,000 sq ft creative space near Old Street roundabout. Fully configurable - daylight or blackout, photo or video.",Versatile creative space,multipurpose,101 Old Street,London,EC1V 9NR,large,"{Daylight + Blackout,WiFi,Kitchen,Changing Rooms,Parking,Steamer,Iron}","{Broncolor Lighting,Paper + Fabric Backdrops,Props,Audio Equipment,Tripods}",70.00,195.00,370.00,https://images.unsplash.com/photo-1497366754035-f200968a6e72?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1497366754035-f200968a6e72?w=800&h=600&fit=crop}",4.8,152,true,true,true,approved
Greenwich Product Lab,greenwich-product-lab,"Clean white studio optimised for product and e-commerce photography. Overhead rig, turntable, and lightbox included.",Product photography studio,photography,34 Greenwich High Road,London,SE10 8JL,medium,"{Overhead Rig,Product Turntable,WiFi,Kitchen,Storage}","{Profoto Pro-11,Light Tent,Macro Lens Kit,Tethering Station,Styling Kit}",60.00,165.00,310.00,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=800&h=600&fit=crop}",4.7,121,false,true,true,approved
Jewellery Quarter Podcast Hub,jq-podcast-hub,"Purpose-built podcast studio in Birmingham JQ. Fully soundproofed, broadcast-ready mics, and multi-camera video podcast setup.",Professional podcast studio,audio,78 Vyse Street,Birmingham,B18 6HA,small,"{Soundproof Room,WiFi,Kitchen,Green Room,Video Podcast Setup}","{Shure SM7B Mics,RODECaster Pro II,PTZ Cameras,Headphones,Riverside.fm}",45.00,125.00,230.00,https://images.unsplash.com/photo-1478737270239-2f02b77fc618?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1478737270239-2f02b77fc618?w=800&h=600&fit=crop}",4.6,87,false,true,true,approved
Headingley Film Lab,headingley-film-lab,"Video production and editing facility near Leeds university campus. Green screen, interview setup, and three editing suites.",Video production lab,videography,45 Otley Road,Leeds,LS6 3AA,medium,"{Green Screen,Editing Suites,WiFi,Kitchen,Parking,Student Lounge}","{Sony FX6,LED Panels,DaVinci Resolve Workstations,Sound Booth,Colour Monitor}",55.00,155.00,290.00,https://images.unsplash.com/photo-1574717024653-61fd2cf4d44d?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1574717024653-61fd2cf4d44d?w=800&h=600&fit=crop}",4.8,145,false,true,true,approved
Kings Cross Studio,kings-cross-studio,"Central London studio 2 minutes from Kings Cross station. 1,200 sq ft with natural and artificial light options.",Central photo studio,photography,12 York Way,London,N1 9AA,medium,"{Natural Light,Blackout,WiFi,Kitchen,Parking,Makeup Mirror}","{Elinchrom ELC 500,Backdrops,Props,Steamer,Full-Length Mirror}",62.00,170.00,320.00,https://images.unsplash.com/photo-1497366216548-37526070297c?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1497366216548-37526070297c?w=800&h=600&fit=crop}",4.7,138,false,true,true,approved
Soho Production House,soho-production-house,"Premium multi-purpose production facility in the heart of Soho. Three studios, post-production suite, client lounge, and on-site catering.",Premium production house,multipurpose,56 Wardour Street,London,W1D 6QW,large,"{3 Studios,Post Suite,Client Lounge,Catering,Valet Parking,Hair & Makeup}","{Phase One Camera System,ARRI Lighting,Dolby Atmos Mix Room,Full Grip,Colour Suite}",95.00,270.00,500.00,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=1200&h=600&fit=crop,"{https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=800&h=600&fit=crop}",4.9,201,true,true,true,approved
